Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,,,,,
451,1146,485,642,485,0,496,1319,3162,1595,2270,,,,,
306,484,509,312,509,135,1239,1125,14840,578,923,,,,,
299,1170,648,1010,648,173,1109,859,852,502,2178,,,,,
350,624,296,1316,296,322,1287,786,3172,749,3152,,,,,
774,262,1036,340,1036,1972,774,574,1359,1228,1491,,,,,
857,434,600,232,600,651,850,11180,947,856,1258,,,,,
786,839,943,626,943,687,760,1420,664,636,1078,,,,,
212,812,375,806,375,375,558,860,855,660,913,,,,,
791,721,330,1805,330,298,980,1372,416,872,757,,,,,
866,639,261,569,261,515,803,1381,438,919,951,,,,,
195,343,495,1779,495,1474,1841,1348,750,1329,699,,,,,
0,986,466,805,466,1357,1252,679,765,825,905,,,,,
0,428,607,796,607,552,952,792,2153,1250,1460,,,,,
0,415,374,367,374,573,1306,1179,1677,466,1587,,,,,
0,1284,806,1112,806,2489,513,716,665,455,817,,,,,
0,1160,261,2662,261,1000,951,450,1131,2433,544,,,,,
0,527,289,931,289,817,986,940,1390,1108,0,,,,,
0,403,546,1806,546,477,1123,782,1406,1240,0,,,,,
0,533,1190,0,1190,4748,1278,797,525,803,0,,,,,
0,309,364,0,364,1319,1456,795,3498,959,0,,,,,
50,570,683,0,683,605,2837,689,1232,471,0,,,,,
452,268,243,0,243,782,1632,1534,1250,1143,0,,,,,
952,673,738,0,738,707,904,1142,746,1686,0,,,,,
517,401,476,0,476,958,2323,1730,1658,875,0,,,,,
702,235,697,0,697,1028,2002,963,1618,1322,0,,,,,
776,314,893,0,893,725,481,1008,2953,817,0,,,,,
341,572,401,0,401,973,609,363,848,1346,0,,,,,
865,324,351,0,351,944,1682,816,3705,540,0,,,,,
182,2130,303,0,303,656,0,1952,1356,1183,0,,,,,
751,655,239,0,239,522,0,2070,750,1505,0,,,,,
775,0,209,0,209,903,0,2072,0,1309,0,,,,,
