0,1460
1,639
2,753
3,641
4,332
5,424
6,471
7,623
8,1438
9,683
10,1202
11,1423
12,1416
13,1332
14,1154
15,1432
16,2267
17,1375
18,897
19,964
20,1289
21,1606
22,1417
23,1707
0,1129
1,821
2,483
3,672
4,318
5,748
6,511
7,754
8,798
9,2156
10,2412
11,1647
12,1297
13,2557
14,1865
15,2735
16,2325
17,2551
18,1511
19,1377
20,985
21,1455
22,1463
23,1030
0,856
1,1008
2,499
3,391
4,296
5,337
6,326
7,597
8,1132
9,2355
10,2096
11,2355
12,2559
13,2414
14,3179
15,2736
16,2072
17,2137
18,1564
19,1415
20,1308
21,1780
22,1448
23,1362
0,925
1,1062
2,425
3,595
4,382
5,216
6,351
7,721
8,1525
9,1199
10,2490
11,2239
12,2374
13,1861
14,2447
15,2643
16,2866
17,2020
18,1845
19,1697
20,1891
21,2112
22,1852
23,1456
0,958
1,765
2,496
3,282
4,231
5,544
6,378
7,447
8,1058
9,1954
10,2862
11,3071
12,2161
13,2326
14,2606
15,2095
16,1914
17,2213
18,1504
19,1501
20,1269
21,1974
22,1957
23,2223
0,851
1,693
2,1078
3,348
4,513
5,348
6,331
7,440
8,470
9,1466
10,1892
11,2119
12,2469
13,1765
14,2686
15,1766
16,2139
17,2030
18,1185
19,1233
20,917
21,1191
22,1628
23,1422
0,1304
1,805
2,661
3,719
4,762
5,521
6,728
7,471
8,620
9,786
10,1569
11,1441
12,1586
13,1160
14,1255
15,914
16,1265
17,1179
18,1029
19,1538
20,1481
21,1425
22,1466
23,1637
